algoritmo,caso,tamanho,repeticao,tempo_execucao,cpu_pico,comparacoes,trocas,heapificacoes,profundidade_recursao,particoes
heap_sort,pior,262144,5,1.2771965999854729,1.265625,8397651,4287044,4418116.0,0,
heap_sort,pior,262144,6,1.3903260999941267,1.375,8397651,4287044,4418116.0,0,
heap_sort,pior,262144,7,1.2651458000182174,1.25,8397651,4287044,4418116.0,0,
heap_sort,pior,262144,8,1.17167219996918,1.171875,8397651,4287044,4418116.0,0,
heap_sort,pior,262144,9,1.2128910000319593,1.203125,8397651,4287044,4418116.0,0,
heap_sort,pior,262144,10,1.2115168999880552,1.203125,8397651,4287044,4418116.0,0,
heap_sort,pior,262144,11,1.232091199955903,1.203125,8397651,4287044,4418116.0,0,
heap_sort,pior,262144,12,1.219418799970299,1.203125,8397651,4287044,4418116.0,0,
heap_sort,pior,262144,13,1.2181057999841869,1.203125,8397651,4287044,4418116.0,0,
heap_sort,pior,262144,14,1.2241912999888882,1.21875,8397651,4287044,4418116.0,0,
heap_sort,pior,262144,15,1.341785600001458,1.3125,8397651,4287044,4418116.0,0,
heap_sort,pior,1048576,1,5.722314000013284,5.671875,37875507,19292288,19816576.0,0,
heap_sort,pior,1048576,2,6.021113199996762,6.0,37875507,19292288,19816576.0,0,
heap_sort,pior,1048576,3,6.743958400038537,6.671875,37875507,19292288,19816576.0,0,
heap_sort,pior,1048576,4,6.349382999993395,6.3125,37875507,19292288,19816576.0,0,
heap_sort,pior,1048576,5,5.477127499994822,5.359375,37875507,19292288,19816576.0,0,
heap_sort,pior,1048576,6,5.895211099996232,5.796875,37875507,19292288,19816576.0,0,
heap_sort,pior,1048576,7,5.805796400003601,5.796875,37875507,19292288,19816576.0,0,
heap_sort,pior,1048576,8,6.099082299973816,6.078125,37875507,19292288,19816576.0,0,
heap_sort,pior,1048576,9,6.163940400001593,6.140625,37875507,19292288,19816576.0,0,
heap_sort,pior,1048576,10,6.6997374999918975,6.640625,37875507,19292288,19816576.0,0,
